PCode,Name,Team,Season,VS LEFTY_AVG,VS LEFTY_AB,VS LEFTY_H,VS LEFTY_2B,VS LEFTY_3B,VS LEFTY_HR,VS LEFTY_RBI,VS LEFTY_BB,VS LEFTY_HBP,VS LEFTY_SO,VS LEFTY_GIDP,VS RIGHTY_AVG,VS RIGHTY_AB,VS RIGHTY_H,VS RIGHTY_2B,VS RIGHTY_3B,VS RIGHTY_HR,VS RIGHTY_RBI,VS RIGHTY_BB,VS RIGHTY_HBP,VS RIGHTY_SO,VS RIGHTY_GIDP
51868,Ko Myeong-jun,SSG,2026,0.345,29,10,1,0,2,6,3,0,6,0,0.276,116,32,6,0,7,14,9,0,28,3
62864,Min-sik Kim,SSG,2026,0.0,2,0,0,0,0,0,0,0,2,0,0.167,24,4,0,0,0,0,0,0,3,0
67893,Park Seong-Han,SSG,2026,0.373,102,38,7,0,1,17,23,0,16,0,0.32,347,111,20,2,3,44,52,2,56,2
74540,Kang Min-ho,Samsung,2026,0.241,58,14,3,0,6,12,5,1,13,1,0.284,176,50,10,0,4,38,26,5,44,4
50458,Kim Ji-chan,Samsung,2026,0.346,78,27,2,0,0,6,16,1,11,0,0.321,302,97,8,5,0,31,42,4,25,2
67449,Kim Seong-yoon,Samsung,2026,0.358,81,29,5,1,1,14,10,0,10,2,0.29,259,75,12,1,2,30,29,2,31,7
52430,Kim Young-woong,Samsung,2026,0.286,28,8,1,0,2,10,1,0,9,1,0.155,110,17,2,0,1,5,7,0,36,1
62404,Koo Ja-wook,Samsung,2026,0.381,105,40,7,2,5,32,11,0,19,0,0.346,263,91,16,3,9,54,44,4,43,4
52415,Lee Jae-hyeon,Samsung,2026,0.278,54,15,1,0,6,13,5,1,11,0,0.224,152,34,5,0,9,23,20,8,27,1
54400,Lewin Díaz,Samsung,2026,0.287,143,41,9,0,7,25,12,2,27,1,0.304,312,95,19,0,13,74,47,0,60,10
62234,Ryu Ji-hyuk,Samsung,2026,0.25,92,23,6,2,1,13,14,1,14,2,0.311,289,90,11,3,4,45,35,6,53,6
